n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,8,powers-two,openblas,1,131072,927328,933764,7.074951171875,7.124053955078125
64,8,powers-two,onemkl,1,131072,1675068,1680635,12.779754638671875,12.822227478027344
64,8,powers-two,current,2,131072,781123,785980,5.9594955444335938,5.996551513671875
64,8,powers-two,pointers,2,131072,789648,794691,6.0245361328125,6.0630111694335938
64,8,powers-two,pipeline,2,131072,779070,783933,5.9438323974609375,5.9809341430664062
64,8,powers-two,blocks,2,131072,900328,905330,6.86895751953125,6.9071197509765625
64,8,powers-two,openblas-leaf,2,131072,840953,846007,6.4159622192382812,6.4545211791992188
64,8,powers-two,openblas-aligned,2,131072,871470,876301,6.6487884521484375,6.6856460571289062
64,8,powers-two,openblas,2,131072,945315,950133,7.2121810913085938,7.2489395141601562
64,8,powers-two,onemkl,2,131072,1682541,1687517,12.836769104003906,12.874732971191406
64,8,powers-two,current,3,131072,786274,791358,5.9987945556640625,6.0375823974609375
64,8,powers-two,pointers,3,131072,785445,790589,5.9924697875976562,6.0317153930664062
64,8,powers-two,pipeline,3,131072,787080,792013,6.00494384765625,6.0425796508789062
64,8,powers-two,blocks,3,131072,786668,792012,6.001800537109375,6.042572021484375
64,8,powers-two,openblas-leaf,3,131072,847746,853063,6.4677886962890625,6.5083541870117188
64,8,powers-two,openblas-aligned,3,131072,880607,885663,6.7184982299804688,6.7570724487304688
64,8,powers-two,openblas,3,131072,940332,945618,7.174163818359375,7.2144927978515625
64,8,powers-two,onemkl,3,131072,1726251,1731491,13.170249938964844,13.210227966308594
64,8,powers-two,current,4,131072,784238,789288,5.9832611083984375,6.02178955078125
64,8,powers-two,pointers,4,131072,779028,783927,5.943511962890625,5.9808883666992188
64,8,powers-two,pipeline,4,131072,885340,890129,6.754608154296875,6.7911453247070312
64,8,powers-two,blocks,4,131072,778984,783960,5.94317626953125,5.98114013671875
64,8,powers-two,openblas-leaf,4,131072,843625,848643,6.4363479614257812,6.4746322631835938
64,8,powers-two,openblas-aligned,4,131072,871807,876637,6.6513595581054688,6.6882095336914062
64,8,powers-two,openblas,4,131072,938706,943559,7.1617584228515625,7.1987838745117188
64,8,powers-two,onemkl,4,131072,1687341,1692304,12.873390197753906,12.9112548828125
64,8,powers-two,current,5,131072,791503,797191,6.0386886596679688,6.0820846557617188
64,8,powers-two,pointers,5,131072,790301,796004,6.0295181274414062,6.073028564453125
64,8,powers-two,pipeline,5,131072,791751,796700,6.0405807495117188,6.078338623046875
64,8,powers-two,blocks,5,131072,792059,797287,6.0429306030273438,6.0828170776367188
64,8,powers-two,openblas-leaf,5,131072,854828,860239,6.521820068359375,6.5631027221679688
64,8,powers-two,openblas-aligned,5,131072,889009,894189,6.7826004028320312,6.8221206665039062
64,8,powers-two,openblas,5,131072,958120,963267,7.30987548828125,7.3491439819335938
64,8,powers-two,onemkl,5,131072,1706047,1711590,13.016105651855469,13.058395385742188
64,8,powers-two,current,6,131072,789092,793960,6.020294189453125,6.05743408203125
64,8,powers-two,pointers,6,131072,790314,795256,6.0296173095703125,6.06732177734375
64,8,powers-two,pipeline,6,131072,788292,793124,6.014190673828125,6.051055908203125
64,8,powers-two,blocks,6,131072,791440,796472,6.0382080078125,6.07659912109375
64,8,powers-two,openblas-leaf,6,131072,855473,860560,6.5267410278320312,6.5655517578125
